epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,2052.66,0.58056,0.70853,0.86034,0.73446,0.67593,0.78061,0.70962,0.47378,1.01249,0.828,0.0079,0.0079,0.0079
72,2081.28,0.49558,0.53613,0.84316,0.63183,0.78183,0.75953,0.65891,0.63527,1.09676,0.8554,0.00787,0.00787,0.00787
73,2109.99,0.61658,0.64112,0.83746,0.63183,0.78183,0.75953,0.65891,0.63527,1.09676,0.8554,0.00784,0.00784,0.00784
74,2138.44,0.63324,0.65583,0.83307,0.65976,0.7976,0.80344,0.72563,0.48403,0.98614,0.82794,0.00781,0.00781,0.00781
75,2166.93,0.68281,0.64084,0.84099,0.67196,0.80945,0.80855,0.72349,0.50738,0.96801,0.83163,0.00778,0.00778,0.00778
76,2195.46,0.60385,0.66434,0.82164,0.66393,0.79923,0.7931,0.71742,0.47346,1.01137,0.8263,0.00775,0.00775,0.00775
77,2223.52,0.52669,0.60419,0.84773,0.66393,0.79923,0.7931,0.71742,0.47346,1.01137,0.8263,0.00772,0.00772,0.00772
78,2251.74,0.57854,0.60678,0.83512,0.65414,0.76554,0.80845,0.7158,0.53916,0.98326,0.83306,0.00769,0.00769,0.00769
79,2280.05,0.53203,0.63593,0.85039,0.69793,0.76211,0.81797,0.73346,0.49434,1.10584,0.82919,0.00766,0.00766,0.00766
80,2308.49,0.53505,0.61658,0.83974,0.66642,0.82946,0.82357,0.74289,0.49518,0.92605,0.82858,0.00763,0.00763,0.00763
81,2336.57,0.55487,0.6507,0.82699,0.66642,0.82946,0.82357,0.74289,0.49518,0.92605,0.82858,0.0076,0.0076,0.0076
82,2364.78,0.59131,0.61716,0.84398,0.6991,0.77269,0.81299,0.72953,0.5175,1.10881,0.83226,0.00757,0.00757,0.00757
83,2393.1,0.58278,0.56387,0.83667,0.66617,0.80986,0.81293,0.73859,0.49166,1.00566,0.82911,0.00754,0.00754,0.00754
84,2421.52,0.55927,0.50498,0.83103,0.69253,0.77655,0.80555,0.72811,0.50147,1.07412,0.83071,0.00751,0.00751,0.00751
85,2449.88,0.54871,0.55086,0.84206,0.69253,0.77655,0.80555,0.72811,0.50147,1.07412,0.83071,0.00748,0.00748,0.00748
86,2478.41,0.50973,0.55184,0.84528,0.6353,0.77624,0.78202,0.69358,0.54071,1.16875,0.83059,0.00745,0.00745,0.00745
87,2506.76,0.57251,0.55172,0.84701,0.69236,0.81695,0.82403,0.74074,0.51164,0.93498,0.83075,0.00742,0.00742,0.00742
88,2535.36,0.56123,0.4693,0.84053,0.66714,0.72626,0.77745,0.70055,0.48587,1.21971,0.82294,0.00739,0.00739,0.00739
89,2563.59,0.50644,0.51422,0.82518,0.66714,0.72626,0.77745,0.70055,0.48587,1.21971,0.82294,0.00736,0.00736,0.00736
90,2592.14,0.53725,0.52083,0.85438,0.73643,0.75982,0.83823,0.74008,0.55115,0.88314,0.83544,0.00733,0.00733,0.00733
91,2620.59,0.5994,0.54119,0.83508,0.77418,0.7664,0.8381,0.76236,0.47946,0.9011,0.82302,0.0073,0.0073,0.0073
92,2649.11,0.61511,0.54725,0.83212,0.78653,0.77216,0.84761,0.76075,0.51284,0.84695,0.82893,0.00727,0.00727,0.00727
93,2677.63,0.51105,0.50604,0.84297,0.78653,0.77216,0.84761,0.76075,0.51284,0.84695,0.82893,0.00724,0.00724,0.00724
94,2706.03,0.51993,0.46823,0.83373,0.7308,0.83588,0.86732,0.7731,0.52018,0.90286,0.82629,0.00721,0.00721,0.00721
95,2734.47,0.56301,0.51387,0.83736,0.7868,0.72633,0.83732,0.74685,0.51507,0.83466,0.83431,0.00718,0.00718,0.00718
96,2762.88,0.4941,0.46812,0.83435,0.69895,0.77669,0.81962,0.74247,0.48626,0.92016,0.8226,0.00715,0.00715,0.00715
97,2791.31,0.56905,0.4655,0.85038,0.69895,0.77669,0.81962,0.74247,0.48626,0.92016,0.8226,0.00712,0.00712,0.00712
98,2819.62,0.52796,0.43471,0.82195,0.71202,0.72069,0.79152,0.71269,0.51635,1.09057,0.83051,0.00709,0.00709,0.00709
99,2847.94,0.59428,0.5045,0.8273,0.71945,0.73698,0.79981,0.73738,0.46124,1.01804,0.81884,0.00706,0.00706,0.00706
100,2876.18,0.51522,0.48599,0.83039,0.75144,0.7319,0.81673,0.74981,0.48454,1.03027,0.82213,0.00703,0.00703,0.00703
